symbol_id,ticker,exchange_id,symbol_type,asset_id_base,asset_id_quote,data_start,data_end
MEXC_SPOT_HARRY_USDT,HPOS10I,,SPOT,,,,
MEXCFTS_PERP_HARRY_USDT,HPOS10I,,PERPETUAL,,,,
MEXC_SPOT_POPCAT_USDT,POPCAT,,SPOT,,,,
MEXCFTS_PERP_POPCAT_USDT,POPCAT,,PERPETUAL,,,,
MEXC_SPOT_GIGA_USDT,GIGA,,SPOT,,,,
MEXCFTS_PERP_GIGA_USDT,GIGA,,PERPETUAL,,,,
MEXC_SPOT_WIF_USDT,WIF,,SPOT,,,,
MEXCFTS_PERP_WIF_USDT,WIF,,PERPETUAL,,,,
MEXC_SPOT_BOME_USDT,BOME,,SPOT,,,,
MEXCFTS_PERP_BOME_USDT,BOME,,PERPETUAL,,,,
MEXC_SPOT_MOG_USDT,MOG,,SPOT,,,,
MEXCFTS_PERP_1000000MOG_USDT,MOG,,PERPETUAL,,,,
MEXC_SPOT_BONK_USDT,BONK,,SPOT,,,,
MEXCFTS_PERP_1000BONK_USDT,BONK,,PERPETUAL,,,,
MEXC_SPOT_SPX_USDT,SPX,,SPOT,,,,
MEXCFTS_PERP_SPX_USDT,SPX,,PERPETUAL,,,,
MEXC_SPOT_PEPE_USDT,PEPE,,SPOT,,,,
MEXCFTS_PERP_PEPE_USDT,PEPE,,PERPETUAL,,,,
MEXC_SPOT_TURBO_USDT,TURBO,,SPOT,,,,
MEXCFTS_PERP_TURBO_USDT,TURBO,,PERPETUAL,,,,
MEXC_SPOT_APU_USDT,APU,,SPOT,,,,
MEXCFTS_PERP_1000APU_USDT,APU,,PERPETUAL,,,,
MEXC_SPOT_AI16Z_USDT,AI16Z,,SPOT,,,,
MEXCFTS_PERP_AI16Z_USDT,AI16Z,,PERPETUAL,,,,
MEXC_SPOT_ALCH_USDC,ALCH,,SPOT,,,,
MEXCFTS_PERP_ALCH_USDT,ALCH,,PERPETUAL,,,,
MEXC_SPOT_GOAT_USDT,GOAT,,SPOT,,,,
MEXCFTS_PERP_GOAT_USDT,GOAT,,PERPETUAL,,,,
MEXC_SPOT_FARTCOIN_USDT,FARTCOIN,,SPOT,,,,
MEXCFTS_PERP_FARTCOIN_USDT,FARTCOIN,,PERPETUAL,,,,
MEXC_SPOT_NPC_USDT,NPC,,SPOT,,,,
MEXCFTS_PERP_NPC_USDT,NPC,,PERPETUAL,,,,
MEXC_SPOT_PONKE_USDT,PONKE,,SPOT,,,,
MEXCFTS_PERP_PONKE_USDT,PONKE,,PERPETUAL,,,,
MEXC_SPOT_NEIRO_USDT,NEIRO,,SPOT,,,,
MEXCFTS_PERP_NEIRO_USDT,NEIRO,,PERPETUAL,,,,
MEXC_SPOT_PNUT_USDT,PNUT,,SPOT,,,,
MEXCFTS_PERP_PNUT_USDT,PNUT,,PERPETUAL,,,,
MEXC_SPOT_MOODENG_USDT,MOODENG,,SPOT,,,,
MEXCFTS_PERP_MOODENG_USDT,MOODENG,,PERPETUAL,,,,
MEXC_SPOT_FLOKI_USDT,FLOKI,,SPOT,,,,
MEXCFTS_PERP_FLOKI_USDT,FLOKI,,PERPETUAL,,,,
MEXC_SPOT_MEW_USDT,MEW,,SPOT,,,,
MEXCFTS_PERP_MEW_USDT,MEW,,PERPETUAL,,,,
